id,lat,lon
8730667,30.27861,-87.555
8739803,30.40625,-88.247806
8731952,30.3033,-87.735
8737138,30.7819,-88.07361
8736897,30.648306,-88.058306
8735184,30.2517,-88.08
8735181,30.251319,-88.079486
8735180,30.25,-88.075
8735391,30.565167,-88.088
8735523,30.443611,-88.113889
8731439,30.2799,-87.68428
8731269,30.2483,-87.6683
8737373,30.9783,-87.8733
8733839,30.66717,-87.9364
8737048,30.70461,-88.03961
8735587,30.2583,-88.1133
8730849,30.355,-87.6
8733821,30.486639,-87.934528
8732828,30.416889,-87.825389
8738043,30.376639,-88.158556
9461380,51.863306,-176.632
9455120,59.7733,-149.588
9456901,58.29,-154.27
9455145,59.9533,-149.715
9455146,59.885,-149.718
9468283,63.7185,-171.6447
9462719,54.2333,-165.533
9462694,54.13328,-165.8
9457804,56.8974,-154.248
9455606,59.771972,-151.867028
9451317,56.6383,-132.927
9455921,61.2383,-149.888
9455920,61.2375,-149.8904
9452141,58.3167,-134.1
9454794,60.6233,-148.165
9461710,52.232,-174.1726
9454755,60.1967,-148.042
9451625,57.0883,-134.825
9452318,58.3217,-134.878
9494935,71.3601,-156.729861
9499176,70.1286,-143.611028
9455128,59.8017,-149.615
9455595,59.725,-151.023
9450906,56.0467,-132.862
9451287,56.595,-132.987
9466477,60.8,-161.75
9450623,55.6,-132.95
9462645,53.828917,-166.21625
9459251,54.8352,-159.7596
9465182,58.7083,-160.188
9454907,60.765,-148.523
9450973,56.1267,-132.895
9454381,60.8067,-146.798
9454818,60.4917,-148.242
9452378,58.6283,-135.165
9455777,60.7767,-151.245
9451012,56.1833,-131.572
9462676,54.064583,-165.93706
9450949,56.0733,-132.478
9450914,56.0383,-131.095
9454374,60.8983,-146.782
9451074,56.2767,-132.985
9455151,59.6933,-149.748
9451781,57.3067,-134.133
9462941,55.06428,-163.53417
9464961,58.521702,-159.152
9465988,60.004639,-165.590972
9490096,66.585694,-164.25083
9454329,60.2383,-146.648
9455711,60.3367,-151.38
9490571,67.054194,-163.32128
9465137,58.6267,-161.837
9462787,54.6,-164.928
9465601,59.378017,-162.0293
9458907,56.2317,-158.347
9458849,56.1467,-158.107
9454777,60.2833,-148.113
9458945,56.3233,-158.515
9458917,56.2967,-158.4
9452421,59.17,-135.4
9455735,60.5033,-151.283
9458293,55.8083,-155.74
9458519,56.0517,-156.698
9465261,58.8483,-158.552
9455558,59.601398,-151.410599
9454851,60.6633,-148.357
9459949,55.2083,-162.698
9454460,61.0233,-147.085
9452682,58.8883,-136.573
9454050,60.5583,-145.755
9451335,56.6633,-132.617
9452346,58.7517,-135.028
9450551,55.4883,-133.142
9455159,59.7133,-149.787
9452082,58.0967,-133.742
9450296,55.1,-131.217
9466931,61.5317,-166.148
9469751,66.09717,-162.740472
9453196,60.0467,-139.555
9459758,55.1217,-161.792
9451376,56.7217,-135.075
9457393,57.7394,-152.87472
9450998,56.1633,-133.413
9450286,55.0879,-132.81583
9466012,60.04294,-165.680583
9450997,56.1633,-133.33
9452635,58.1933,-136.343
9452634,58.19472,-136.34694
9468863,64.6167,-162.248
9451706,57.1883,-134.287
9451438,56.8117,-133.787
9450251,55.0354,-133.0238
9454757,60.4617,-148.045
9452437,58.4167,-135.447
9452328,57.9667,-134.935
9462955,54.8583,-163.407
9455914,61.1733,-150.205
9455912,61.1733,-150.213
9498381,70.185,-146.05
9452321,58.255,-134.895
9457726,56.594694,-153.996028
9451421,56.7867,-135.393
9469833,66.2303,-163.904099
9455963,61.3933,-149.847
9454807,60.95,-148.212
9454806,60.95,-148.212
9454153,60.7683,-146.078
9462705,54.11028,-165.66139
9454751,60.1,-148.038
9454824,61.035,-148.313
9452294,58.085,-134.777
9452292,58.1267,-134.758
9466153,60.2703,-162.4102
9459163,55.066,-159.4187
9451634,57.1133,-134.38
9454691,60.475,-147.792
9465173,58.721699,-160.427
9452067,57.76,-133.603
9450544,55.48,-132.645
9455557,59.6033,-151.42
9452438,58.1076,-135.44419
9458964,56.1133,-158.598
9450364,55.201698,-132.823
9453472,59.8583,-141.663
9453471,59.8583,-141.655
9469626,65.8933,-167.273
9462961,54.7784,-163.36428
9457634,56.96,-153.687
9453215,59.5817,-139.702
9452210,58.2988,-134.4106
9451528,56.948306,-133.89472
9455732,60.5117,-151.952
9458365,57.52,-156.052
9450581,55.535,-132.397
9455517,59.468306,-151.565
9468261,63.682861,-171.750194
9450460,55.331944,-131.626111
9453444,60.0267,-141.367
9465953,59.947528,-164.2107
9459881,55.059889,-162.326111
9454951,60.4567,-148.665
9491247,67.7267,-164.532
9491253,67.7267,-164.592
9457292,57.730278,-152.513889
9457283,57.745,-152.483
9490424,66.9017,-162.582
9450913,56.0369,-134.115
9458819,56.6133,-157.983
9465265,58.84,-159.647
9458705,56.6167,-157.492
9465911,59.87975,-163.166361
9469982,66.4617,-165.055
9457724,57.53,-153.99
9454713,60.0533,-147.907
9451422,56.7883,-132.502
9452569,58.3133,-136.037
9465419,59.1133,-156.832
9452336,58.4983,-134.965
9450625,55.6017,-132.512
9469541,65.757058,-168.949539
9466328,60.5543,-162.297104
9454825,60.6917,-148.263
9469460,65.625,-168.025
9469338,65.39,-167.145
9454642,60.4617,-147.672
9454674,59.89,-147.795
9451152,56.3922,-132.169
9450753,55.788283,-132.190883
9450466,55.3583,-132.368
9466217,60.4167,-166.167
9464075,56.9083,-158.684906
9450314,55.1283,-131.567
9459016,55.89,-158.82
9454616,60.025,-147.592
9451247,56.535,-133.767
9455824,60.9633,-150.673
9453443,59.93,-141.363
9452584,58.9133,-136.108
9457407,57.9783,-152.925
9458779,56.3517,-157.812
9465203,58.73206,-156.983
9465283,58.8467,-160.21
9457258,57.775,-152.403
9466298,60.5167,-165.133
9462948,54.9667,-163.44
9455760,60.683333,-151.398056
9462450,52.94061,-168.871306
9455653,60.055,-151.682
9468756,64.494611,-165.439639
9455869,61.043306,-151.163
9452005,57.5217,-133.055
9468039,63.3167,-168.967
9450642,55.629,-131.362694
9455178,59.7483,-149.9
9450711,55.7217,-133.35
9456717,58.3917,-153.958
9467551,62.53294,-164.84528
9457527,57.2028,-153.3039
9497147,70.5117,-149.867
9452184,58.1083,-134.31
9469515,65.728806,-168.032139
9457287,57.9217,-152.498
9451346,56.6767,-132.933
9452611,57.958,-136.2268
9454561,60.1267,-147.395
9455427,59.13,-151.697
9454721,60.6717,-147.932
9465396,59.0467,-161.818
9452516,58.2867,-135.803
9454814,59.9383,-148.227
9451005,56.1783,-132.697
9454671,60.1533,-147.767
9491873,68.3417,-166.808
9453210,59.9033,-139.627
9493300,69.74472,-163.06417
9451263,56.5583,-132.963
9455866,61.0367,-150.413
9469237,65.2567,-166.847
9450467,55.3583,-132.485
9458471,57.0133,-156.483
9466057,60.12328,-162.500361
9451054,56.24661,-134.64772
9454673,60.3433,-147.768
9454511,60.2418,-147.249
9455428,59.2133,-151.728
9455437,59.35,-151.827
9452542,58.3817,-135.918
9457391,57.873472,-152.8671
9455934,61.2683,-149.917
9463502,55.985694,-160.573889
9457261,57.7833,-152.428
9465056,58.5,-158.712
9451936,57.515,-135.6
9497649,70.3883,-148.51
9497645,70.411389,-148.531667
9454729,60.7533,-147.958
9458209,57.7067,-155.393
9465123,58.62,-161.542
9465831,59.750553,-161.915436
9450815,55.88,-132.595
9451467,56.8567,-134.723
9491094,67.575806,-164.064389
9453208,59.6117,-139.58
9462662,54.13072,-166.0993
9451124,56.3533,-132.553
9453456,59.885,-141.457
9454363,60.9467,-146.755
9462723,54.052,-165.51417
9450651,55.6417,-130.645
9453178,59.975,-139.407
9451497,56.903,-134.30306
9450495,55.4017,-132.328
9459450,55.33172,-160.5043
9468258,63.679083,-170.5371
9452022,57.8783,-133.19
9462808,54.393639,-164.74572
9451805,57.34,-135.707
9462786,54.101806,-164.941583
9454564,60.425,-147.41
9451454,56.837639,-134.3271
9455500,59.440498,-151.719894
9451853,57.41,-135.627
9455090,60.12,-149.426667
9450982,56.14,-133.61
9450987,56.1483,-133.46
9468691,64.3802,-161.235139
9450618,55.592917,-133.152
9469854,66.2633,-166.02
9469804,66.17,-166.207
9451600,57.051694,-135.342
9457512,56.96572,-153.252194
9452400,59.4508,-135.328
9454533,60.5317,-147.343
9465374,59.04,-158.447
9456173,60.107472,-152.5817
9454662,60.25,-147.717
9454652,60.3667,-147.7
9454952,60.6833,-148.673
9452377,58.615,-135.163
9450578,55.5333,-133.637
9468151,63.525,-162.293
9497646,70.4,-148.527
9462711,54.15083,-165.615
9457493,57.744028,-153.195472
9452368,58.215,-135.127
9452434,59.3017,-135.428
9456993,58.0633,-154.477
9456992,58.0633,-154.477
9452123,58.0683,-134.012
9452131,58.3667,-134.052
9451953,57.5333,-134.417
9452749,58.9648,-136.877583
9469239,65.2667,-166.353
9451785,57.295,-133.797
9451349,56.68242,-133.736908
9450970,56.1183,-132.078
9450938,56.0583,-132.968
9462782,54.12,-164.977
9469439,65.5583,-167.975
9457152,58.3167,-152.067
9452069,57.8067,-133.63
9462721,54.14,-165.527
9450463,55.3517,-132.93806
9451434,56.8,-132.98
9465116,58.5983,-160.307
9468333,63.871361,-160.7843
9462621,53.88,-166.542
9462620,53.879194,-166.540306
9458762,56.4917,-157.74
9455204,59.79,-150.032
9458553,56.7967,-156.848
9457728,57.635,-154.007
9457376,57.9283,-152.812
9454328,61.0817,-146.668
9454240,61.1242,-146.3631
9464212,57.125278,-170.285278
9451037,56.22,-132.297
9450761,55.799769,-132.165975
9452632,58.9467,-136.333
9494168,70.5983,-160.108
9497651,70.3883,-148.502
9455768,60.7133,-151.727
9457535,58.10717,-153.3401
9465358,58.9867,-160.625
9451741,57.25,-135.567
9454948,60.7783,-148.665
9454949,60.7783,-148.665
9452391,58.7133,-135.232
9452046,57.5883,-133.407
9454562,59.875,-147.403
9451204,56.47,-132.387
9453220,59.548333,-139.733056
9452249,58.1833,-134.587
9459465,55.335,-160.617
9454411,60.3083,-146.943
9463885,56.57,-169.7
1495000,-63.395,-56.995
2695535,32.369999,-64.695
2695540,32.373306,-64.703306
9414632,37.595,-122.145
9414767,37.7933,-122.315
9414750,37.7717,-122.3
9414818,37.8633,-122.42
9415064,38.02,-121.815
9416841,38.914556,-123.711083
9410079,33.345,-118.325
9415027,38.0033,-121.523
9410155,32.6867,-117.233
9410962,34.0083,-120.047
9415111,38.0433,-122.13
9415522,38.2567,-121.438
9414816,37.865,-122.307
9415117,38.045,-121.42
9415021,37.994694,-121.41904
9415396,38.19,-122.917
9414958,37.90778,-122.678612
9414835,37.8917,-121.488
9414867,37.9367,-121.333
9414836,37.8833,-121.577
9414811,38.1833,-121.923
9415446,38.21,-122.307
9418778,40.7783,-124.197
9410650,33.7067,-118.273
9415846,38.4167,-121.523
9414794,37.835,-121.552
9418637,40.637199,-124.282204
9415176,38.0733,-121.848
9414874,37.9433,-122.513
9414561,37.4467,-121.963
9414589,37.46,-121.953
9414575,37.465,-122.023
9414621,37.5633,-122.128
9419750,41.74561,-124.18439
9415143,38.0583,-122.223
9414509,37.5067,-122.115
9414510,37.5,-122.1
9415053,38.0117,-121.638
9415415,38.1917,-122.312
9415004,37.985,-121.392
9413631,36.8183,-121.747
9413663,36.85667,-121.755
9413623,36.81,-121.785
9418802,40.8067,-124.142
9418801,40.8067,-124.167
9418723,40.7233,-124.222
9418799,40.7983,-124.12
9415052,38.015,-122.503
9411399,34.46939,-120.228306
9415287,38.125,-121.578
9414551,37.4233,-121.975
9414796,37.8333,-122.397
9414785,37.82,-121.447
9416409,38.7043,-123.44939
9415126,38.0483,-122.498
9415124,38.0483,-122.498
9415074,38.0233,-122.292
9415344,38.1617,-122.55
9414759,37.775,-121.42
9414866,37.935,-121.435
9418686,40.6867,-124.222
9414358,37.73,-122.357
9410120,32.5783,-117.135
9415228,38.1133,-122.868
9415352,38.1633,-121.608
9415145,38.055,-121.657
9415379,38.18,-122.045
9410738,33.8467,-118.398
9413651,36.8413,-121.7453
9415229,38.09761,-121.568383
9410230,32.866889,-117.257139
9415423,38.1983,-122.547
9410680,33.7517,-118.227
9410660,33.719944,-118.272861
9418865,40.865,-124.148
9415112,38.0433,-121.918
9412802,35.949528,-121.48194
9415165,38.1117,-122.273
9415218,38.07,-122.25
9415102,38.034639,-122.125194
9415307,38.1367,-121.907
9410196,32.7937,-117.2238
9413450,36.605,-121.888054
9415402,38.1867,-121.98
9415205,38.0767,-121.885
9413616,36.8017,-121.79
9414768,37.7867,-121.313
9414519,37.4933,-122.042
9411013,34.1017,-119.098
9414778,37.8033,-121.448
9415623,38.2983,-122.28
9415478,38.2267,-121.49
9414506,37.5133,-122.08
9410580,33.6033,-117.883
9414305,37.81,-122.413
9418767,40.7663,-124.2172
9417426,39.4258,-123.8051
9414711,37.7317,-122.208
9414764,37.795,-122.282
9414777,37.805,-122.338
9414779,37.81,-122.327
9410179,32.7483,-117.255
9410396,33.21,-117.395
9411406,34.469167,-120.681944
9410025,32.5717,-117.12
9414868,37.9383,-121.56
9414392,37.665,-122.377
9414525,37.4583,-122.105
9414537,37.4567,-122.11
9414746,37.7717,-122.235
9415252,38.115306,-122.5057
9415584,38.2283,-122.613
9414317,37.79,-122.387
9415266,38.1267,-122.1
9414131,37.5025,-122.48217
9415056,38.015,-122.363
9415096,38.0367,-121.88
9414837,37.8917,-122.443
9414881,37.9583,-122.425
9415020,37.994167,-122.973611
9415009,37.9933,-122.447
9414873,37.945,-122.475
9415144,38.056,-122.0395
9412110,35.168806,-120.754194
9415198,38.08,-121.568
9410971,34.02,-119.683
9415149,38.0617,-121.555
9419945,41.94525,-124.200917
9418739,40.74,-124.212
9414523,37.506699,-122.209999
9414501,37.5333,-122.193
9419551,41.545,-124.07
9415320,38.1467,-122.883
9414849,37.91,-122.358
9414863,37.923,-122.409583
9411270,34.3483,-119.443
9415316,38.145,-121.692
9415479,38.2267,-121.673
9416174,38.58,-121.507
9418817,40.8267,-124.18
9410170,32.714194,-117.173583
9410302,33.0133,-117.277
9414290,37.806306,-122.465889
9414688,37.695,-122.192
9414637,37.6083,-122.182
9414458,37.58,-122.253
9415187,38.08,-122.462
9412553,35.6417,-121.188
9415477,38.2317,-122.968
9411340,34.403111,-119.692806
9410840,34.0083,-118.5
9414819,37.865,-122.493
9414806,37.8467,-122.477
9418024,40.025,-124.058
9415438,38.205,-122.373
9415565,38.2767,-121.495
9415338,38.1567,-122.407
9415447,38.21,-122.427
9414609,37.5517,-122.162
9410135,32.629101,-117.108
9415414,38.1833,-121.655
9414883,37.9583,-121.29
9415498,38.2367,-122.03
9415265,38.1283,-122.073
9415257,38.11,-121.498
9415236,38.1067,-121.7
9415193,38.0867,-121.685
9413643,36.83,-121.745
9419059,41.0567,-124.147
9414585,37.4617,-121.953
9418983,40.8983,-124.135
9415151,38.0567,-121.53
9415489,38.24,-121.522
9415105,38.050025,-121.49686
9410032,33.005001,-118.556999
9414782,37.81,-122.36
9648958,13.5833,-89.85
9759412,18.456639,-67.164583
9757809,18.480528,-66.702361
9759197,17.9514,-67.196583
9761115,17.590834,-61.820557
9751774,18.3633,-65.035
9751639,18.347222,-64.925833
9751364,17.747694,-64.69839
9653601,15.9533,-86.5
9752235,18.300861,-65.302472
9751494,18.297139,-64.81775
9751768,18.37125,-64.963472
9752695,18.093889,-65.471389
9753216,18.335278,-65.631111
9751584,17.7133,-64.8833
9731158,19.9067,-75.1467
9751456,18.3167,-64.7817
9752619,18.1525,-65.443889
9654601,16.445,-85.915
9752962,18.344972,-65.5695
9652734,15.7883,-86.795
9751381,18.31825,-64.724222
9755679,17.9283,-66.1583
9751309,18.36761,-64.72072
9751401,17.6947,-64.753799
9751467,18.3607,-64.803528
9500966,22.2617,-97.795
9759110,17.9701,-67.046402
9505950,19.0633,-104.298
9759394,18.219,-67.1625
9759938,18.089917,-67.9385
9753641,18.18706,-65.71139
9812530,8.91833,-79.5333
9712712,25.55,-79.2817
9712714,25.5517,-79.2817
9758053,17.972528,-66.7618
9665401,14.042,-83.38194
9654234,16.0167,-86.0333
9662957,12.4783,-87.1683
9650593,15.835,-87.87
9635000,13.9167,-90.83
9759189,18.074806,-67.1888
9635002,15.695,-88.62
9759421,18.165,-67.1817
9751540,18.3267,-64.8517
9755371,18.459167,-66.116389
9756639,17.955,-66.4067
9710441,26.71,-78.9967
9509990,18.7083,-110.948
9751373,18.3483,-64.7167
9751472,18.335,-64.795
9751583,18.34894,-64.86417
9754228,18.055083,-65.833
8467373,41.1567,-73.2133
8467150,41.173302,-73.181702
8463701,41.2683,-72.5317
8464445,41.2717,-72.6667
8466375,41.205,-73.0417
8463836,41.5033,-72.5533
8466797,41.2033,-73.1117
8465692,41.2517,-72.905
8468799,41.0383,-73.48
8463827,41.5417,-72.5517
8469057,41.039194,-73.592028
8464336,41.56,-72.645
8466442,41.2183,-73.055
8466664,41.275,-73.0883
8465705,41.283333,-72.908333
8465748,41.2933,-72.9167
8461490,41.361401,-72.089996
8461925,41.325,-72.1867
8461392,41.5233,-72.0783
8464255,41.6633,-72.63
8468609,41.065,-73.445
8468191,41.12,-73.3683
8466573,41.3017,-73.0717
8466791,41.1867,-73.1133
8468448,41.0967,-73.415
8467726,41.1333,-73.2833
8469198,41.0383,-73.5467
8463348,41.4517,-72.465
8460751,41.3433,-71.975
8461467,41.43,-72.0933
8555889,38.987,-75.113
8551851,39.57,-75.59
8551762,39.5817,-75.5883
8550438,39.75,-75.4933
8554501,39.1667,-75.2667
8555461,39.0483,-75.1833
8557125,38.8,-75.0833
8558695,38.61,-75.07
8558690,38.61,-75.07
8557380,38.78278,-75.119164
8559885,38.4633,-75.055
8554399,39.185,-75.4
8558788,38.595,-75.2917
8556198,38.945,-75.3133
8555388,39.0583,-75.3967
8551201,39.6567,-75.5617
8558789,38.595,-75.1733
8551702,39.5833,-75.5733
8551910,39.5583,-75.5733
8557863,38.72,-75.0833
8558101,38.69,-75.0783
8550714,39.7183,-75.52
8593909,38.91,-76.955
8593545,38.895,-76.9683
8593005,38.8717,-76.995
8594900,38.873,-77.0217
7691360,14.6767,-17.42
7641400,6.42333,3.41167
8723453,25.3967,-80.2333
8724992,25.9633,-81.665
8726614,27.87,-82.3283
8729015,30.03,-85.465
8729364,30.4883,-86.205
8721374,28.7333,-80.7567
8729152,30.17,-85.755
8728255,29.9117,-84.365
8728261,29.895,-84.3883
8728288,29.9033,-84.4133
8723861,24.85,-80.6183
8720086,30.5867,-81.4633
8720623,29.7933,-81.2717
8726917,28.165,-82.8433
8726924,28.1717,-82.785
8722274,27.355,-80.2733
8726243,27.4967,-82.7133
8726282,27.5333,-82.73
8724229,24.7583,-81.39
8728715,29.8417,-85.0283
8728711,29.7633,-85.0333
8728690,29.724444,-84.980556
8726537,27.7867,-82.4267
8726632,27.8817,-82.3967
8727097,28.4333,-82.6683
8724138,24.655,-81.2817
8726978,28.205,-82.7833
8726976,28.2017,-82.78
8729387,30.4867,-86.2533
8729381,30.4967,-86.24
8723582,25.2233,-80.3433
8726689,27.9417,-82.72
8729849,30.4017,-87.2517
8727151,28.5333,-82.65
8729105,30.0917,-85.6483
8724489,24.6017,-81.655
8729435,30.465,-86.3517
8729909,30.3267,-87.3567
8724979,25.9333,-81.655
8724226,24.7283,-81.3867
8724231,24.745,-81.395
8724211,24.67,-81.3683
8724192,24.6517,-81.35
8724227,24.69,-81.3833
8724246,24.7883,-81.4117
8724264,24.705,-81.4333
8723439,25.415,-80.21
8720757,29.615,-81.205
8722213,27.4683,-80.3
8724436,24.5883,-81.6383
8723089,25.88,-80.1633
8726353,27.6017,-82.5533
8720434,30.08,-81.7617
8725943,27.1783,-82.495
8724975,25.9317,-81.5967
8729753,30.6367,-87.0283
8720203,30.4133,-81.545
8729941,30.38694,-87.428806
8724493,24.575,-81.7083
8724499,24.5633,-81.7133
8724485,24.6033,-81.6983
8726574,27.8083,-82.795
8722816,26.3433,-80.0767
8720084,30.5883,-81.6633
8724193,24.6967,-81.3483
8725541,26.7067,-82.1633
8723971,24.7033,-81.105
8722706,26.5483,-80.0533
8726247,27.5,-82.5733
8720767,29.595,-81.6817
8729154,30.3283,-85.7633
8726774,28.0317,-82.82
8729063,30.1367,-85.5717
8729548,30.47,-86.5933
8721608,28.4083,-80.6017
8721804,28.1383,-80.5783
8725451,26.564472,-81.935806
8723251,25.6517,-80.16
8724947,25.8533,-81.675
8728942,29.6683,-85.36
8723534,25.2883,-80.37
8725325,26.405361,-81.88325
8728464,29.85,-84.665
8723583,25.2217,-80.2117
8725916,27.1533,-82.4833
8728619,29.7233,-84.8867
8720189,30.4367,-81.6417
8727520,29.135,-83.0317
8724507,24.6033,-81.725
8727246,28.715,-82.5767
8729851,30.5983,-87.2467
8720023,30.6833,-81.5333
8729329,30.3967,-86.0883
8724919,25.8133,-81.3633
8723457,25.3917,-80.23
8729567,30.4283,-86.6317
8720198,30.4067,-81.51
8726724,27.978306,-82.831694
8726706,27.955,-82.8067
8726425,27.6783,-82.5033
8721649,28.3683,-80.6
8724098,24.745,-81.2367
8725228,26.2817,-81.8017
8725319,26.4,-81.8433
8724307,24.79,-81.4833
8724964,25.8967,-81.6367
8723391,25.48,-80.1883
8726217,27.4667,-82.6867
8724527,24.57,-81.75
8720004,30.7217,-81.6217
8723746,25.005,-80.6183
8724199,24.7567,-81.3583
8720651,29.7683,-81.2583
8720855,29.43,-81.5067
8729179,30.3083,-85.8117
8726996,28.2467,-82.735
8727343,28.8983,-82.5983
8724313,24.66,-81.4917
8724305,24.6867,-81.4833
8724328,24.7,-81.505
8724332,24.6617,-81.515
8720097,30.5767,-81.5717
8720011,30.7083,-81.465
8720012,30.7167,-81.3017
8723289,25.615,-80.305
8725685,26.855,-82.3033
8727751,29.7133,-83.5017
8720219,30.387222,-81.559166
8724971,25.9167,-81.6867
8726657,27.9083,-82.4517
8721020,29.2283,-81.005
8721120,29.1467,-80.9633
8720214,30.3967,-81.395
8727809,29.845,-83.6217
8722746,26.4733,-80.0617
8726273,27.5233,-82.65
8729511,30.395,-86.5133
8726739,27.9883,-82.6083
8723205,25.7267,-80.2367
8724963,25.895,-81.5583
8727336,28.8817,-82.635
8724201,24.69,-81.3567
8720406,30.12,-81.7583
8728408,29.81,-84.585
8725079,26.0833,-81.785
8722528,26.8817,-80.07
8726768,28.0283,-82.6333
8724474,24.6233,-81.685
8723927,24.765,-80.9133
8723044,25.9417,-80.125
8726761,28.0133,-82.7933
8729083,30.1,-85.6117
8723465,25.3733,-80.29
8724094,24.775,-81.2267
8729702,30.45,-86.9183
8723752,24.9967,-80.61
8720596,29.8583,-81.5533
8727956,30.0533,-83.91
8721191,28.9883,-80.9
8720145,30.5017,-81.5417
8726347,27.6017,-82.76
8725769,26.9617,-82.21
8728786,29.7067,-85.1533
8723393,25.4767,-80.18
8723409,25.4533,-80.1967
8725747,26.9333,-82.3533
8725351,26.4383,-81.9183
8725346,26.43,-81.8567
8724948,25.8583,-81.3867
8724970,25.9033,-81.5133
8724962,25.89,-81.4767
8729017,30.0167,-85.47
8723949,24.7333,-81.0167
8727892,29.98,-83.7833
8720030,30.671389,-81.465833
8728258,30.015,-84.3683
8727086,28.4133,-82.6767
8726988,28.23,-82.7533
8725272,26.3367,-81.845
8729806,30.3367,-87.14
8723644,25.1417,-80.9233
8724571,24.5917,-81.795
8729824,30.5817,-87.18
8720186,30.44,-81.4383
8726277,27.525,-82.43
8720686,29.715,-81.2383
8725520,26.648,-81.871
8729882,30.33,-87.2917
8722212,27.47,-80.2883
8729554,30.4017,-86.61
8727512,29.3983,-83.0233
8722939,26.1133,-80.1083
8722937,26.1183,-80.145
8720221,30.39,-81.5067
8726573,27.8217,-82.485
8723693,25.0767,-80.455
8725411,26.5133,-82.1067
8726641,27.8933,-82.5383
8724697,24.6267,-82.8717
8729538,30.435,-86.5867
8723026,25.9667,-80.125
8722414,27.0933,-80.1367
8724306,24.6417,-81.485
8729155,30.1583,-85.7683
8723921,24.7717,-80.94
8723933,24.755,-80.9583
8720496,29.99,-81.6633
8720093,30.5767,-81.6083
8721138,29.0817,-80.9367
8727293,28.8,-82.6033
8725791,26.9883,-81.9933
8729613,30.4083,-86.7317
8723073,25.9033,-80.125
8723080,25.9033,-80.12
8726045,27.2917,-82.5417
8729889,30.37,-87.3183
8725024,26.0267,-81.73
8725377,26.47,-81.8767
8729791,30.455,-87.1
8722862,26.2567,-80.08
8722861,26.2583,-80.0817
8722859,26.26,-80.085
8726693,27.9467,-82.4617
8722429,27.065,-80.1233
8722445,27.0367,-80.1067
8722979,26.04,-80.115
8726834,28.0833,-82.8283
8726808,28.0583,-82.81
8726809,28.0617,-82.8133
8724139,24.7667,-81.2833
8727648,29.4367,-83.2933
8726904,28.1533,-82.8017
8724243,24.725,-81.4067
8728757,29.77,-85.085
8727061,28.3617,-82.71
8729598,30.4067,-86.7
8725368,26.46,-81.94
8729943,30.4583,-87.4083
8720357,30.1917,-81.6917
8725269,26.3367,-81.83
8725271,26.3433,-81.78
8726853,28.1033,-82.7783
8723843,24.8767,-80.6767
8724932,25.81,-81.465
8726601,27.8733,-82.8517
8724409,24.6583,-81.6083
8725418,26.5217,-81.965
8723797,24.9383,-80.61
8720291,30.2833,-81.3867
8720268,30.325,-81.665
8722338,27.235,-80.21
8723613,25.1833,-80.39
8727235,28.6917,-82.6383
8726533,27.785,-82.7817
8724172,24.7667,-81.3233
8724153,24.7433,-81.3
8724397,24.71,-81.5933
8729332,30.4283,-86.1367
8720409,30.135,-81.63
8722495,26.9433,-80.0733
8722491,26.9517,-80.08
8722492,26.9467,-80.09
8722499,26.935,-80.085
8725019,26.025,-81.7683
8724292,24.6617,-81.4683
8723232,25.6983,-80.17
8723962,24.7183,-81.0167
8724517,24.58,-81.7383
8724557,24.545,-81.7833
8724580,24.55083,-81.80806
8720058,30.6317,-81.4767
8724008,24.7067,-81.125
8724302,24.715,-81.4783
8726899,28.15,-82.7717
8729333,30.4683,-86.1383
8729045,30.1217,-85.5283
8722512,26.9117,-80.08
8722669,26.6133,-80.0467
8722670,26.612778,-80.034167
8722802,26.37,-80.07
8728412,29.8783,-84.595
8720051,30.6433,-81.5233
8722899,26.1883,-80.0933
8723824,24.9033,-80.695
8723825,24.9,-80.705
8724093,24.6817,-81.2283
8725665,26.8267,-82.285
8725259,26.33,-81.8383
8725283,26.3533,-81.855
8724177,24.75,-81.3283
8724154,24.7133,-81.3033
8720274,30.31,-81.61
8729808,30.3367,-87.1467
8724209,24.7733,-81.3683
8720006,30.7317,-81.7267
8724224,24.665,-81.3867
8725835,27.0433,-81.9867
8725745,26.93,-82.1367
8724698,24.6317,-82.92
8723906,24.7917,-80.8833
8723873,24.8383,-80.7983
8726604,27.855,-82.48
8726089,27.34,-82.59
8720242,30.36,-81.62
8729816,30.515,-87.1617
8723851,24.8683,-80.7033
8723852,24.865,-80.7167
8727433,29.0767,-82.8117
8722496,26.935,-80.1433
8722481,26.97,-80.1267
8729102,30.255,-85.6483
8725809,27.0117,-82.41
8723574,25.235,-80.435
8727989,30.1267,-83.975
8726492,27.7417,-82.4667
8727333,28.87,-82.7233
8724967,25.9083,-81.7283
8724991,25.9717,-81.7283
8726467,27.7183,-82.4533
8723950,24.73,-81.03
8727274,28.7617,-82.6383
8729107,30.1517,-85.66
8724205,24.7333,-81.3617
8720218,30.398167,-81.427889
8720220,30.3933,-81.4317
